List Name,Criterion Type,Keyword Text,Match Type
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"plomero",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"gasista",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cerrajero",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"flete",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"mudanza",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"uade",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"uai",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"siglo 21",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"universidad siglo 21",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"udesa",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"universidad de san andres",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"austral",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"universidad austral",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"itba",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"uca",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"universidad catolica",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"ucema",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"torcuato di tella",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"universidad de belgrano",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"universidad de palermo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cuota mensual",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"arancel",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"aranceles",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"matricula de pago",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"precio de la carrera",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"costo por mes",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cuanto sale la cuota",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cuanto cuesta la carrera",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"precio mensual",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"primaria",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"primario",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"escuela primaria",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"jardin",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"jardin de infantes",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"maternal",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"secundario acelerado",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"secundaria acelerada",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"terminar la secundaria",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"terminar el secundario",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"plan fines",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"fines",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"bachillerato de adultos",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cens",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"educacion especial",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"coderhouse",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"soyhenry",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"henry",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"platzi",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"udemy",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"coursera",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"edx",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"curso de 1 semana",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"curso de 2 semanas",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"curso de un mes",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"curso corto",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"taller de 3 dias",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"computrabajo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"bumeran",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"zonajobs",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"linkedin empleos",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"postularse",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"vacantes de empleo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"busco trabajo de",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"ofertas de empleo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"bolsa de trabajo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cuanto gana",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"sueldo de",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"salario de",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"cuanto se cobra",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"sueldos promedio",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"recibo de sueldo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"convenio colectivo",Broad
"ISFT N° 199 — Super-Lista Maestra Negativas Académicas",Negative Keyword,"escala salarial",Broad
