timestamp,id_sensor,potencia_kw,tension_v,corriente_a,factor_potencia,temperatura_c,estado_vfd
2026-06-01 14:00:00,vfd-02,10.97,398.9,17.1,0.93,54.0,1
2026-06-01 14:00:00,vfd-03,29.11,399.8,46.7,0.9,69.1,1
2026-06-01 15:00:00,vfd-01,20.4,393.6,32.2,0.93,61.6,1
2026-06-01 15:00:00,vfd-02,13.56,399.6,21.1,0.93,54.7,1
2026-06-01 15:00:00,vfd-03,29.17,401.0,46.1,0.91,68.9,1
2026-06-01 16:00:00,vfd-01,24.1,404.8,38.6,0.89,63.4,1
2026-06-01 16:00:00,vfd-02,17.05,397.7,25.5,0.97,56.5,1
2026-06-01 16:00:00,vfd-03,37.03,396.7,57.3,0.94,68.8,1
2026-06-01 17:00:00,vfd-01,26.84,398.2,41.9,0.93,63.1,1
2026-06-01 17:00:00,vfd-02,18.2,404.0,28.0,0.93,59.5,1
2026-06-01 17:00:00,vfd-03,34.32,398.9,51.2,0.97,67.8,1
2026-06-01 18:00:00,vfd-01,28.08,396.4,43.1,0.95,64.1,1
2026-06-01 18:00:00,vfd-02,24.57,397.2,39.3,0.91,57.9,1
2026-06-01 18:00:00,vfd-03,41.94,399.4,67.4,0.9,70.2,1
2026-06-01 19:00:00,vfd-01,33.33,404.4,50.1,0.95,64.4,1
2026-06-01 19:00:00,vfd-02,21.9,395.5,34.0,0.94,58.6,1
2026-06-01 19:00:00,vfd-03,39.84,396.6,63.7,0.91,68.8,1
2026-06-01 20:00:00,vfd-01,26.04,399.9,42.2,0.89,62.2,1
2026-06-01 20:00:00,vfd-02,22.28,402.6,34.0,0.94,59.4,1
2026-06-01 20:00:00,vfd-03,33.63,395.8,53.3,0.92,71.3,1
2026-06-01 21:00:00,vfd-01,25.57,399.5,38.1,0.97,62.5,1
2026-06-01 21:00:00,vfd-02,19.53,398.9,30.7,0.92,60.7,1
2026-06-01 21:00:00,vfd-03,31.73,393.8,50.6,0.92,69.4,1
2026-06-01 22:00:00,vfd-01,20.72,394.0,34.5,0.88,58.9,1
2026-06-01 22:00:00,vfd-02,15.46,397.7,24.1,0.93,55.0,1
2026-06-01 22:00:00,vfd-03,19.52,391.9,30.9,0.93,67.5,1
2026-06-01 23:00:00,vfd-01,17.65,400.4,28.0,0.91,63.2,1
2026-06-01 23:00:00,vfd-02,12.64,396.0,20.3,0.91,54.5,1
2026-06-01 23:00:00,vfd-03,12.6,398.5,19.8,0.92,65.3,1
2026-06-02 00:00:00,vfd-01,9.98,399.1,15.2,0.95,59.8,1
2026-06-02 00:00:00,vfd-02,8.54,396.2,13.7,0.91,52.4,1
2026-06-02 00:00:00,vfd-03,10.97,398.2,16.7,0.95,67.1,1
2026-06-02 01:00:00,vfd-01,13.85,395.9,21.7,0.93,58.8,1
2026-06-02 01:00:00,vfd-02,9.3,399.3,14.9,0.9,57.5,1
2026-06-02 01:00:00,vfd-03,13.05,392.3,20.9,0.92,65.3,1
2026-06-02 02:00:00,vfd-01,12.8,399.4,20.1,0.92,57.2,1
2026-06-02 02:00:00,vfd-02,7.3,400.3,11.2,0.94,56.8,1
2026-06-02 02:00:00,vfd-03,16.62,391.8,26.3,0.93,63.6,1
2026-06-02 03:00:00,vfd-01,16.75,398.8,27.3,0.89,64.0,1
2026-06-02 03:00:00,vfd-02,9.39,392.3,15.0,0.92,53.4,1
2026-06-02 03:00:00,vfd-03,14.25,396.6,22.1,0.94,64.0,1
2026-06-02 04:00:00,vfd-01,16.1,403.4,25.6,0.9,61.2,1
2026-06-02 04:00:00,vfd-02,9.24,395.9,14.5,0.93,54.6,1
2026-06-02 04:00:00,vfd-03,14.25,403.3,21.9,0.93,65.9,1
2026-06-02 05:00:00,vfd-01,17.23,395.6,26.8,0.94,60.9,1
2026-06-02 05:00:00,vfd-02,10.8,397.4,16.9,0.93,54.7,1
2026-06-02 05:00:00,vfd-03,21.94,397.5,34.3,0.93,68.3,1
2026-06-02 06:00:00,vfd-01,22.6,395.4,36.7,0.9,60.9,1
2026-06-02 06:00:00,vfd-02,11.51,400.6,18.0,0.92,57.4,1
2026-06-02 06:00:00,vfd-03,31.28,398.1,51.0,0.89,68.1,1
2026-06-02 07:00:00,vfd-01,28.37,393.5,45.2,0.92,63.5,1
2026-06-02 07:00:00,vfd-02,15.6,395.7,25.0,0.91,58.8,1
2026-06-02 07:00:00,vfd-03,33.59,395.5,53.3,0.92,70.5,1
2026-06-02 08:00:00,vfd-01,32.83,399.4,50.0,0.95,65.0,1
2026-06-02 08:00:00,vfd-02,21.4,396.3,32.5,0.96,56.5,1
2026-06-02 08:00:00,vfd-03,40.63,401.6,61.5,0.95,70.1,1
2026-06-02 09:00:00,vfd-01,35.25,399.7,54.7,0.93,62.9,1
2026-06-02 09:00:00,vfd-02,21.22,398.7,34.1,0.9,58.2,1
2026-06-02 09:00:00,vfd-03,46.73,396.2,70.9,0.96,71.9,1
2026-06-02 10:00:00,vfd-01,35.85,396.0,55.0,0.95,62.1,1
2026-06-02 10:00:00,vfd-02,21.55,396.1,33.4,0.94,58.1,1
2026-06-02 10:00:00,vfd-03,46.61,401.4,71.3,0.94,70.5,1
2026-06-02 11:00:00,vfd-01,30.68,400.2,46.6,0.95,65.7,1
2026-06-02 11:00:00,vfd-02,18.78,398.1,29.3,0.93,56.9,1
2026-06-02 11:00:00,vfd-03,42.2,392.9,65.3,0.95,71.3,1
2026-06-02 12:00:00,vfd-01,29.09,404.7,45.1,0.92,63.2,1
2026-06-02 12:00:00,vfd-02,16.41,403.8,26.1,0.9,57.1,1
2026-06-02 12:00:00,vfd-03,32.35,390.3,53.8,0.89,66.8,1
2026-06-02 13:00:00,vfd-01,24.0,395.4,38.1,0.92,60.6,1
2026-06-02 13:00:00,vfd-02,14.52,394.7,22.4,0.95,54.4,1
2026-06-02 13:00:00,vfd-03,28.15,398.4,43.9,0.93,70.4,1
2026-06-02 14:00:00,vfd-01,20.02,394.4,32.2,0.91,60.7,1
2026-06-02 14:00:00,vfd-02,13.91,399.2,21.9,0.92,57.0,1
2026-06-02 14:00:00,vfd-03,26.03,397.6,40.6,0.93,70.2,1
2026-06-02 15:00:00,vfd-01,20.57,396.9,33.3,0.9,62.7,1
2026-06-02 15:00:00,vfd-02,13.75,399.0,22.4,0.89,57.2,1
2026-06-02 15:00:00,vfd-03,25.35,395.7,38.9,0.95,65.8,1
2026-06-02 16:00:00,vfd-01,23.95,398.2,38.2,0.91,64.3,1
2026-06-02 16:00:00,vfd-02,19.22,392.1,31.4,0.9,58.3,1
2026-06-02 16:00:00,vfd-03,29.23,396.8,45.7,0.93,69.4,1
2026-06-02 17:00:00,vfd-01,27.69,398.3,43.6,0.92,64.9,1
2026-06-02 17:00:00,vfd-02,20.13,399.0,31.7,0.92,57.5,1
2026-06-02 17:00:00,vfd-03,36.16,397.5,57.7,0.91,70.6,1
2026-06-02 18:00:00,vfd-01,33.32,398.7,50.8,0.95,65.2,1
2026-06-02 18:00:00,vfd-02,24.14,398.9,37.2,0.94,59.7,1
2026-06-02 18:00:00,vfd-03,39.37,395.1,61.2,0.94,67.1,1
2026-06-02 19:00:00,vfd-01,30.8,399.2,46.4,0.96,63.7,1
2026-06-02 19:00:00,vfd-02,24.5,398.0,38.6,0.92,56.4,1
2026-06-02 19:00:00,vfd-03,36.43,393.9,56.2,0.95,69.2,1
2026-06-02 20:00:00,vfd-01,29.15,398.2,44.5,0.95,64.8,1
2026-06-02 20:00:00,vfd-02,20.97,397.2,33.1,0.92,55.2,1
2026-06-02 20:00:00,vfd-03,35.99,401.6,55.6,0.93,68.7,1
2026-06-02 21:00:00,vfd-01,25.75,391.0,40.9,0.93,62.8,1
2026-06-02 21:00:00,vfd-02,18.1,402.2,27.4,0.95,56.4,1
2026-06-02 21:00:00,vfd-03,28.23,396.8,44.6,0.92,66.3,1
2026-06-02 22:00:00,vfd-01,21.79,401.1,33.4,0.94,60.3,1
2026-06-02 22:00:00,vfd-02,18.04,403.9,27.7,0.93,55.5,1
2026-06-02 22:00:00,vfd-03,20.31,399.3,32.6,0.9,67.0,1
2026-06-02 23:00:00,vfd-01,17.82,393.5,27.2,0.96,63.5,1
2026-06-02 23:00:00,vfd-02,11.32,393.8,18.2,0.91,53.5,1
2026-06-02 23:00:00,vfd-03,16.79,390.3,27.3,0.91,69.2,1
2026-06-03 00:00:00,vfd-01,9.25,397.2,15.3,0.88,60.6,1
2026-06-03 00:00:00,vfd-02,8.88,403.8,13.8,0.92,53.8,1
2026-06-03 00:00:00,vfd-03,12.45,396.5,20.4,0.89,66.3,1
2026-06-03 01:00:00,vfd-01,11.68,398.5,18.4,0.92,59.3,1
2026-06-03 01:00:00,vfd-02,9.43,403.2,15.2,0.89,57.1,1
2026-06-03 01:00:00,vfd-03,11.27,395.7,17.1,0.96,65.9,1
2026-06-03 02:00:00,vfd-01,15.26,400.5,25.0,0.88,60.9,1
2026-06-03 02:00:00,vfd-02,8.06,394.0,13.4,0.88,54.3,1
2026-06-03 02:00:00,vfd-03,13.95,399.2,22.2,0.91,64.9,1
2026-06-03 03:00:00,vfd-01,12.07,396.3,19.8,0.89,59.9,1
2026-06-03 03:00:00,vfd-02,8.59,395.3,13.8,0.91,53.1,1
2026-06-03 03:00:00,vfd-03,14.0,399.5,22.0,0.92,66.8,1
2026-06-03 04:00:00,vfd-01,12.55,396.9,19.8,0.92,61.2,1
2026-06-03 04:00:00,vfd-02,7.08,398.5,10.9,0.94,53.6,1
2026-06-03 04:00:00,vfd-03,16.11,399.4,25.3,0.92,67.4,1
2026-06-03 05:00:00,vfd-01,18.51,398.5,29.8,0.9,61.1,1
2026-06-03 05:00:00,vfd-02,11.76,397.4,18.8,0.91,54.4,1
2026-06-03 05:00:00,vfd-03,21.99,395.4,34.2,0.94,65.9,1
2026-06-03 06:00:00,vfd-01,20.9,398.6,32.6,0.93,62.2,1
2026-06-03 06:00:00,vfd-02,13.97,396.8,21.9,0.93,54.4,1
2026-06-03 06:00:00,vfd-03,29.04,399.9,45.1,0.93,68.6,1
2026-06-03 07:00:00,vfd-01,27.09,397.0,41.9,0.94,62.8,1
2026-06-03 07:00:00,vfd-02,16.3,393.9,25.7,0.93,55.3,1
2026-06-03 07:00:00,vfd-03,31.56,397.5,51.5,0.89,69.8,1
2026-06-03 08:00:00,vfd-01,35.6,397.8,56.2,0.92,63.0,1
2026-06-03 08:00:00,vfd-02,19.54,390.7,30.7,0.94,58.2,1
2026-06-03 08:00:00,vfd-03,40.82,396.5,63.2,0.94,70.6,1
2026-06-03 09:00:00,vfd-01,39.36,398.1,61.4,0.93,64.4,1
2026-06-03 09:00:00,vfd-02,22.21,402.7,34.2,0.93,56.3,1
2026-06-03 09:00:00,vfd-03,44.44,391.7,68.9,0.95,68.6,1
2026-06-03 10:00:00,vfd-01,34.72,392.1,55.6,0.92,65.1,1
2026-06-03 10:00:00,vfd-02,20.38,392.8,31.9,0.94,56.9,1
2026-06-03 10:00:00,vfd-03,47.48,400.2,72.9,0.94,69.2,1
2026-06-03 11:00:00,vfd-01,32.63,399.5,51.3,0.92,61.7,1
2026-06-03 11:00:00,vfd-02,21.0,396.8,32.9,0.93,57.6,1
2026-06-03 11:00:00,vfd-03,44.45,398.8,69.2,0.93,71.7,1
2026-06-03 12:00:00,vfd-01,30.92,402.2,47.2,0.94,61.9,1
2026-06-03 12:00:00,vfd-02,20.9,394.4,33.3,0.92,56.5,1
2026-06-03 12:00:00,vfd-03,39.17,399.3,62.9,0.9,70.3,1
2026-06-03 13:00:00,vfd-01,23.06,397.0,37.3,0.9,61.0,1
2026-06-03 13:00:00,vfd-02,13.26,398.1,21.1,0.91,56.6,1
2026-06-03 13:00:00,vfd-03,27.75,392.8,44.8,0.91,70.2,1
2026-06-03 14:00:00,vfd-01,18.77,405.0,28.8,0.93,59.6,1
2026-06-03 14:00:00,vfd-02,12.04,398.7,19.4,0.9,58.8,1
2026-06-03 14:00:00,vfd-03,25.02,400.0,38.0,0.95,67.6,1
2026-06-03 15:00:00,vfd-01,18.96,397.2,29.6,0.93,62.7,1
2026-06-03 15:00:00,vfd-02,14.52,393.8,22.9,0.93,54.9,1
2026-06-03 15:00:00,vfd-03,23.48,395.9,38.0,0.9,68.4,1
2026-06-03 16:00:00,vfd-01,27.59,403.6,42.9,0.92,62.2,1
2026-06-03 16:00:00,vfd-02,18.24,401.2,28.5,0.92,56.7,1
2026-06-03 16:00:00,vfd-03,36.96,397.7,58.3,0.92,69.7,1
2026-06-03 17:00:00,vfd-01,29.13,394.9,45.8,0.93,61.5,1
2026-06-03 17:00:00,vfd-02,20.39,403.6,30.7,0.95,57.3,1
2026-06-03 17:00:00,vfd-03,34.48,397.1,52.2,0.96,68.3,1
2026-06-03 18:00:00,vfd-01,33.38,393.9,52.6,0.93,66.6,1
2026-06-03 18:00:00,vfd-02,20.61,401.6,32.9,0.9,57.4,1
2026-06-03 18:00:00,vfd-03,38.84,400.5,64.4,0.87,66.9,1
2026-06-03 19:00:00,vfd-01,29.8,398.1,47.0,0.92,63.0,1
2026-06-03 19:00:00,vfd-02,21.97,396.8,34.7,0.92,58.2,1
2026-06-03 19:00:00,vfd-03,39.84,402.3,62.1,0.92,69.5,1
2026-06-03 20:00:00,vfd-01,28.21,397.1,44.1,0.93,60.7,1
2026-06-03 20:00:00,vfd-02,22.19,395.3,35.6,0.91,55.5,1
2026-06-03 20:00:00,vfd-03,37.06,397.6,56.1,0.96,70.0,1
2026-06-03 21:00:00,vfd-01,20.72,394.7,32.2,0.94,60.6,1
2026-06-03 21:00:00,vfd-02,17.48,397.5,27.6,0.92,55.1,1
2026-06-03 21:00:00,vfd-03,27.7,396.6,45.8,0.88,68.9,1
2026-06-03 22:00:00,vfd-01,17.85,401.9,28.5,0.9,58.8,1
2026-06-03 22:00:00,vfd-02,16.97,393.2,27.4,0.91,57.4,1
2026-06-03 22:00:00,vfd-03,21.49,393.0,34.0,0.93,66.9,1
2026-06-03 23:00:00,vfd-01,18.17,399.8,27.1,0.97,58.8,1
2026-06-03 23:00:00,vfd-02,12.78,394.8,19.9,0.94,56.6,1
2026-06-03 23:00:00,vfd-03,19.02,395.7,30.8,0.9,63.8,1
2026-06-04 00:00:00,vfd-01,14.34,399.5,22.8,0.91,62.0,1
2026-06-04 00:00:00,vfd-02,10.05,400.9,16.4,0.88,53.6,1
2026-06-04 00:00:00,vfd-03,11.67,399.1,18.2,0.93,64.2,1
2026-06-04 01:00:00,vfd-01,12.22,404.6,18.8,0.93,61.5,1
2026-06-04 01:00:00,vfd-02,8.9,400.3,13.5,0.95,54.5,1
2026-06-04 01:00:00,vfd-03,14.5,395.4,23.0,0.92,67.5,1
2026-06-04 02:00:00,vfd-01,11.44,401.3,18.3,0.9,58.8,1
2026-06-04 02:00:00,vfd-02,8.69,403.8,13.5,0.92,55.7,1
2026-06-04 02:00:00,vfd-03,11.04,398.2,18.0,0.89,64.8,1
2026-06-04 03:00:00,vfd-01,15.35,397.9,23.7,0.94,60.4,1
2026-06-04 03:00:00,vfd-02,8.38,401.8,13.4,0.9,52.0,1
2026-06-04 03:00:00,vfd-03,16.87,399.2,28.0,0.87,66.6,1
2026-06-04 04:00:00,vfd-01,14.8,403.2,23.5,0.9,59.8,1
2026-06-04 04:00:00,vfd-02,7.9,394.8,12.8,0.9,52.0,1
2026-06-04 04:00:00,vfd-03,14.05,393.2,23.5,0.88,63.8,1
2026-06-04 05:00:00,vfd-01,17.44,395.9,28.6,0.89,61.8,1
2026-06-04 05:00:00,vfd-02,10.19,396.7,16.3,0.91,57.1,1
2026-06-04 05:00:00,vfd-03,20.79,399.4,34.5,0.87,66.1,1
2026-06-04 06:00:00,vfd-01,18.9,396.7,29.6,0.93,60.4,1
2026-06-04 06:00:00,vfd-02,13.32,394.9,20.9,0.93,53.2,1
2026-06-04 06:00:00,vfd-03,25.69,399.3,39.9,0.93,67.7,1
2026-06-04 07:00:00,vfd-01,32.0,396.8,50.6,0.92,59.6,1
2026-06-04 07:00:00,vfd-02,18.28,396.9,29.2,0.91,58.9,1
2026-06-04 07:00:00,vfd-03,36.66,398.3,59.0,0.9,70.1,1
2026-06-04 08:00:00,vfd-01,32.94,394.5,50.2,0.96,60.7,1
2026-06-04 08:00:00,vfd-02,20.4,399.4,30.4,0.97,57.9,1
2026-06-04 08:00:00,vfd-03,36.98,395.5,57.4,0.94,70.1,1
2026-06-04 09:00:00,vfd-01,39.16,392.1,62.0,0.93,66.5,1
2026-06-04 09:00:00,vfd-02,23.85,403.6,36.7,0.93,60.0,1
2026-06-04 09:00:00,vfd-03,50.12,401.6,75.8,0.95,72.8,1
2026-06-04 10:00:00,vfd-01,35.52,393.7,54.3,0.96,63.8,1
2026-06-04 10:00:00,vfd-02,21.92,396.3,34.3,0.93,58.2,1
2026-06-04 10:00:00,vfd-03,44.28,398.2,68.3,0.94,70.5,1
2026-06-04 11:00:00,vfd-01,75.64,400.4,46.9,0.97,62.7,1
2026-06-04 11:00:00,vfd-02,21.16,400.7,34.6,0.88,56.5,1
2026-06-04 11:00:00,vfd-03,40.78,400.3,62.6,0.94,70.8,1
2026-06-04 12:00:00,vfd-01,28.2,395.3,44.8,0.92,61.2,1
2026-06-04 12:00:00,vfd-02,16.19,397.6,25.3,0.93,55.2,1
2026-06-04 12:00:00,vfd-03,37.58,400.8,56.4,0.96,70.7,1
2026-06-04 13:00:00,vfd-01,22.41,400.0,34.4,0.94,61.0,1
2026-06-04 13:00:00,vfd-02,15.33,403.2,22.9,0.96,56.1,1
2026-06-04 13:00:00,vfd-03,30.55,399.2,47.5,0.93,69.5,1
2026-06-04 14:00:00,vfd-01,19.59,397.4,29.6,0.96,61.8,1
2026-06-04 14:00:00,vfd-02,13.12,400.6,20.3,0.93,55.9,1
2026-06-04 14:00:00,vfd-03,27.06,394.3,43.1,0.92,66.4,1
2026-06-04 15:00:00,vfd-01,21.13,394.5,32.9,0.94,62.9,1
2026-06-04 15:00:00,vfd-02,14.79,397.7,23.1,0.93,53.0,1
2026-06-04 15:00:00,vfd-03,25.87,397.6,40.4,0.93,67.8,1
2026-06-04 16:00:00,vfd-01,22.29,398.4,35.1,0.92,60.4,1
2026-06-04 16:00:00,vfd-02,17.81,397.4,27.2,0.95,57.7,1
2026-06-04 16:00:00,vfd-03,33.72,399.0,53.6,0.91,67.7,1
2026-06-04 17:00:00,vfd-01,25.44,406.6,39.7,0.91,62.2,1
2026-06-04 17:00:00,vfd-02,20.29,397.2,32.1,0.92,54.6,1
2026-06-04 17:00:00,vfd-03,34.34,393.8,54.1,0.93,68.1,1
2026-06-04 18:00:00,vfd-01,29.53,398.6,46.0,0.93,64.7,1
2026-06-04 18:00:00,vfd-02,22.56,398.7,35.9,0.91,59.0,1
2026-06-04 18:00:00,vfd-03,38.32,399.2,59.0,0.94,69.5,1
2026-06-04 19:00:00,vfd-01,31.21,396.8,47.3,0.96,65.0,1
2026-06-04 19:00:00,vfd-02,23.97,394.5,38.1,0.92,57.4,1
2026-06-04 19:00:00,vfd-03,38.02,399.3,59.8,0.92,71.5,1
2026-06-04 20:00:00,vfd-01,28.13,392.0,45.0,0.92,59.2,1
2026-06-04 20:00:00,vfd-02,20.84,396.4,33.0,0.92,57.1,1
2026-06-04 20:00:00,vfd-03,33.64,396.2,51.1,0.96,70.9,1
2026-06-04 21:00:00,vfd-01,21.73,401.8,34.7,0.9,60.7,1
2026-06-04 21:00:00,vfd-02,20.62,391.3,32.4,0.94,55.6,1
2026-06-04 21:00:00,vfd-03,28.1,397.5,42.5,0.96,67.0,1
2026-06-04 22:00:00,vfd-01,19.19,399.9,30.1,0.92,60.2,1
2026-06-04 22:00:00,vfd-02,15.47,398.3,23.9,0.94,54.7,1
2026-06-04 22:00:00,vfd-03,21.23,399.0,33.4,0.92,66.9,1
2026-06-04 23:00:00,vfd-01,15.83,395.9,25.7,0.9,61.5,1
2026-06-04 23:00:00,vfd-02,11.49,401.5,18.0,0.92,53.1,1
2026-06-04 23:00:00,vfd-03,17.99,398.5,28.0,0.93,68.4,1
2026-06-05 00:00:00,vfd-01,10.6,395.9,17.2,0.9,58.4,1
2026-06-05 00:00:00,vfd-02,8.25,398.9,13.1,0.91,53.5,1
2026-06-05 00:00:00,vfd-03,9.62,399.0,15.5,0.9,63.9,1
2026-06-05 01:00:00,vfd-01,11.72,397.2,19.1,0.89,61.3,1
2026-06-05 01:00:00,vfd-02,9.94,398.1,15.7,0.92,55.4,1
2026-06-05 01:00:00,vfd-03,11.74,400.7,17.8,0.95,65.9,1
2026-06-05 02:00:00,vfd-01,13.59,400.6,21.5,0.91,58.7,1
2026-06-05 02:00:00,vfd-02,9.78,393.3,15.1,0.95,55.9,1
2026-06-05 02:00:00,vfd-03,13.07,398.2,19.9,0.95,64.5,1
2026-06-05 03:00:00,vfd-01,11.76,396.2,18.8,0.91,58.6,1
2026-06-05 03:00:00,vfd-02,8.8,398.4,14.2,0.9,56.8,1
2026-06-05 03:00:00,vfd-03,10.94,394.2,17.4,0.92,65.3,1
2026-06-05 04:00:00,vfd-01,16.28,396.1,26.7,0.89,59.9,1
2026-06-05 04:00:00,vfd-02,8.18,399.6,13.0,0.91,55.3,1
2026-06-05 04:00:00,vfd-03,17.62,401.1,27.3,0.93,67.8,1
2026-06-05 05:00:00,vfd-01,19.76,396.4,31.6,0.91,58.8,1
2026-06-05 05:00:00,vfd-02,10.6,396.0,16.6,0.93,55.6,1
2026-06-05 05:00:00,vfd-03,17.28,395.0,27.8,0.91,65.8,1
2026-06-05 06:00:00,vfd-01,23.11,394.5,36.8,0.92,59.6,1
2026-06-05 06:00:00,vfd-02,10.11,400.1,16.2,0.9,53.9,1
2026-06-05 06:00:00,vfd-03,23.15,393.8,37.3,0.91,66.9,1
2026-06-05 07:00:00,vfd-01,30.27,399.3,47.6,0.92,64.6,1
2026-06-05 07:00:00,vfd-02,17.5,399.2,27.5,0.92,58.2,1
2026-06-05 07:00:00,vfd-03,37.83,400.0,56.9,0.96,71.1,1
2026-06-05 08:00:00,vfd-01,35.59,394.7,57.2,0.91,64.3,1
2026-06-05 08:00:00,vfd-02,17.71,396.2,27.2,0.95,55.7,1
2026-06-05 08:00:00,vfd-03,42.68,393.9,67.3,0.93,71.9,1
2026-06-05 09:00:00,vfd-01,37.77,398.9,56.4,0.97,66.7,1
2026-06-05 09:00:00,vfd-02,20.94,402.0,32.3,0.93,57.6,1
2026-06-05 09:00:00,vfd-03,46.38,401.2,72.6,0.92,71.6,1
2026-06-05 10:00:00,vfd-01,37.88,400.4,58.1,0.94,66.3,1
2026-06-05 10:00:00,vfd-02,21.1,401.4,31.9,0.95,55.5,1
2026-06-05 10:00:00,vfd-03,47.43,398.5,73.9,0.93,70.0,1
2026-06-05 11:00:00,vfd-01,32.42,393.7,49.0,0.97,62.1,1
2026-06-05 11:00:00,vfd-02,18.88,401.4,28.6,0.95,58.1,1
2026-06-05 11:00:00,vfd-03,45.52,397.1,72.7,0.91,72.1,1
2026-06-05 12:00:00,vfd-01,28.49,397.0,46.0,0.9,65.0,1
2026-06-05 12:00:00,vfd-02,17.09,393.9,26.4,0.95,54.4,1
2026-06-05 12:00:00,vfd-03,34.53,394.6,54.9,0.92,67.9,1
2026-06-05 13:00:00,vfd-01,20.97,400.2,32.5,0.93,62.7,1
2026-06-05 13:00:00,vfd-02,15.1,396.9,23.6,0.93,56.8,1
2026-06-05 13:00:00,vfd-03,33.59,400.7,50.9,0.95,70.6,1
2026-06-05 14:00:00,vfd-01,21.71,392.6,34.0,0.94,62.2,1
2026-06-05 14:00:00,vfd-02,13.11,396.4,21.0,0.91,56.1,1
2026-06-05 14:00:00,vfd-03,29.04,393.5,45.8,0.93,67.5,1
2026-06-05 15:00:00,vfd-01,19.04,399.2,29.9,0.92,60.4,1
2026-06-05 15:00:00,vfd-02,13.53,398.8,21.3,0.92,54.0,1
2026-06-05 15:00:00,vfd-03,26.43,397.5,41.3,0.93,66.4,1
2026-06-05 16:00:00,vfd-01,24.97,395.5,37.6,0.97,61.1,1
2026-06-05 16:00:00,vfd-02,16.47,398.6,26.2,0.91,57.6,1
2026-06-05 16:00:00,vfd-03,36.06,396.8,56.4,0.93,68.6,1
